from,to
0,1
2,3
4,5
6,5
7,8
9,10
11,12
13,14
13,14
4,5
7,15
16,17
7,18
19,20
9,10
0,21
22,23
24,20
11,25
7,26
27,28
19,20
11,29
7,15
27,28
11,30
9,10
0,31
32,33
7,8
19,20
13,14
24,20
9,10
13,14
7,34
0,35
9,10
36,37
7,38
7,18
11,39
0,21
6,5
7,40
7,15
19,20
11,41
0,42
36,43
7,44
11,45
9,10
0,46
7,8
47,48
0,31
11,49
13,14
19,20
24,20
9,10
7,18
24,20
19,20
6,5
0,31
11,50
24,20
7,40
9,10
11,51
36,43
7,15
4,5
52,53
54,55
56,55
57,58
9,10
32,59
7,60
11,61
13,14
24,20
19,20
32,62
11,63
6,5
7,44
64,65
11,66
9,10
4,5
24,20
7,26
11,67
4,5
22,23
7,68
13,14
24,20
4,5
7,8
9,10
11,69
24,20
0,31
7,26
16,17
4,5
24,20
11,70
71,72
9,10
36,37
11,70
0,46
4,5
9,10
24,20
7,18
54,55
24,20
73,74
0,31
19,20
4,5
7,40
13,14
73,75
76,77
0,1
4,5
13,14
73,78
24,20
19,20
6,5
7,79
7,34
9,10
16,17
80,81
19,20
7,38
9,10
7,18
82,83
7,15
0,42
64,65
6,5
13,14
4,5
24,20
7,8
19,20
4,5
16,17
7,15
0,84
85,86
9,10
0,21
7,8
4,5
85,87
7,40
19,20
13,14
85,86
9,10
0,46
47,48
32,62
16,17
9,10
7,8
0,35
80,88
7,15
73,89
90,58
73,91
0,1
9,10
73,92
93,94
13,14
7,40
4,5
19,20
0,46
13,14
9,10
4,5
7,79
95,96
4,5
7,40
36,43
85,86
24,20
0,46
24,20
9,10
7,60
22,23
13,14
0,21
16,17
0,46
7,18
4,5
9,10
22,23
9,10
4,5
0,31
6,5
0,1
19,20
9,10
4,5
7,18
0,46
82,83
0,42
7,15
13,14
0,84
9,10
24,20
7,38
7,68
24,20
16,17
0,46
27,28
6,5
19,20
7,15
24,20
95,96
36,37
9,10
27,28
4,5
27,28
9,10
97,98
99,23
100,23
19,20
13,14
4,5
24,20
9,10
7,26
36,37
16,17
19,20
4,5
24,20
9,10
7,15
36,43
76,77
13,14
101,102
7,68
9,10
19,20
24,20
13,14
36,37
7,68
4,5
0,46
7,79
9,10
36,43
4,5
7,40
9,10
19,20
7,68
13,14
9,10
4,5
13,14
0,46
6,5
36,37
16,17
7,40
100,23
97,98
99,23
7,60
19,20
9,10
4,5
7,79
9,10
57,58
52,53
103,104
0,21
7,44
7,18
105,58
103,104
6,5
57,58
13,14
76,77
9,10
7,79
0,35
16,17
36,37
19,20
4,5
7,40
24,20
7,34
0,31
36,43
0,35
7,38
9,10
24,20
106,107
4,5
13,14
13,14
7,8
0,46
9,10
0,1
4,5
7,40
19,20
4,5
0,42
7,8
0,35
4,5
36,43
9,10
7,40
19,20
24,20
13,14
7,8
16,17
9,10
7,26
24,20
7,60
9,10
6,5
7,34
0,46
36,43
0,1
7,15
13,14
0,21
7,38
4,5
19,20
13,14
108,109
7,8
16,17
110,58
19,20
52,53
76,77
101,102
103,104
111,112
52,53
54,55
52,53
7,68
4,5
7,8
36,37
24,20
4,5
7,40
103,104
57,58
57,58
52,53
13,14
7,18
57,58
103,104
82,83
7,68
52,53
57,58
111,112
0,46
36,43
6,5
101,102
76,77
22,23
27,28
0,35
7,8
7,40
52,53
7,18
19,20
57,58
4,5
24,20
7,79
13,14
113,114
103,104
57,58
7,44
115,116
57,58
117,118
119,120
27,28
111,112
121,122
105,58
105,58
123,124
125,126
127,128
119,120
52,53
129,112
110,58
13,14
105,58
7,38
130,131
132,83
16,17
0,42
7,68
130,131
115,116
7,79
36,37
0,1
133,134
135,136
7,38
7,34
13,14
90,58
7,8
57,58
4,5
19,20
115,116
115,116
7,60
24,20
6,5
4,5
19,20
16,17
7,15
36,37
0,84
7,8
137,138
139,113
100,23
97,98
99,23
0,42
13,14
19,20
7,79
0,1
36,37
7,8
0,46
7,79
4,5
24,20
19,20
137,140
24,20
19,20
0,42
7,34
13,14
7,40
141,142
4,5
24,20
0,21
7,38
24,20
7,79
0,35
137,114
143,144
7,18
24,20
13,14
145,146
7,34
0,42
4,5
115,116
13,14
7,44
144,109
16,17
71,147
19,20
99,23
97,98
7,38
7,15
137,146
115,116
6,5
4,5
24,20
7,40
24,20
7,18
0,42
13,14
7,15
16,17
71,148
7,40
24,20
0,31
11,149
7,34
36,43
19,20
24,20
4,5
13,14
19,20
150,151
7,79
36,37
13,14
7,15
24,20
6,5
0,1
7,38
152,153
2,154
155,146
13,14
156,58
11,157
0,46
24,20
13,14
13,14
19,20
24,20
11,158
159,160
36,37
7,34
161,162
7,44
163,146
16,17
164,146
4,5
11,165
160,109
7,79
19,20
13,14
24,20
163,166
2,167
7,8
4,5
0,21
11,168
13,14
7,38
4,5
156,88
169,170
0,42
16,17
169,170
169,170
7,8
163,171
0,46
24,20
19,20
7,38
169,172
52,53
169,173
19,20
13,14
7,26
169,174
19,20
175,176
177,178
0,21
169,179
27,28
16,17
155,134
36,37
4,5
19,20
7,44
24,20
11,180
7,26
27,28
0,84
7,79
11,181
0,42
155,131
182,58
11,183
13,14
19,20
24,20
7,18
0,1
16,17
16,17
7,34
4,5
71,184
19,20
7,8
182,185
7,60
11,186
36,43
11,187
0,42
7,15
11,188
13,14
7,8
